,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Legendary
0,242,Blissey,Normal,,540,255,10,10,75,135,55,2,False
1,113,Chansey,Normal,,450,250,5,5,35,105,50,1,False
2,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
3,321,Wailord,Water,,500,170,90,45,90,45,60,3,False
4,594,Alomomola,Water,,470,165,75,80,40,45,65,5,False
5,143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False
6,289,Slaking,Normal,,670,150,160,100,95,65,100,3,False
7,426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False
8,487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True
9,487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True
