,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Legendary
0,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
1,50,Diglett,Ground,,265,10,55,25,35,45,95,1,False
2,129,Magikarp,Water,,200,20,10,55,15,20,80,1,False
3,172,Pichu,Electric,,205,20,40,15,35,35,60,2,False
4,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
5,349,Feebas,Water,,200,20,15,20,10,55,80,3,False
6,355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False
7,439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,False
8,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
9,63,Abra,Psychic,,310,25,20,15,105,55,90,1,False
