,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Legendary
0,306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False
1,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
2,208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
3,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
4,377,Regirock,Rock,,580,80,100,200,50,100,50,3,True
5,713,Avalugg,Ice,,514,95,117,184,44,46,28,6,False
6,80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
7,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
8,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
9,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False
