,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Legendary
0,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
1,150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
2,384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
3,382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
4,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
5,493,Arceus,Normal,,720,120,120,120,120,120,120,4,True
6,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
7,381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True
8,373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
9,248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
